Image_No	det_time	des_time
0000	381.236 ms	0.00298176 ms
0001	377.946 ms	0.00205695 ms
0002	365.775 ms	0.00202065 ms
0003	371.248 ms	0.0021156 ms
0004	366.262 ms	0.00206989 ms
0005	369.824 ms	0.00211021 ms
0006	374.082 ms	0.00208536 ms
0007	376.936 ms	0.00242374 ms
0008	371.927 ms	0.00197451 ms
0009	365.309 ms	0.00196765 ms
