Image_No	det_time	des_time
0000	86.9709 ms	0.00305829 ms
0001	76.299 ms	0.00399161 ms
0002	78.7533 ms	0.00293305 ms
0003	77.8553 ms	0.0033024 ms
0004	75.4286 ms	0.00275798 ms
0005	77.0861 ms	0.00280743 ms
0006	77.2791 ms	0.00290046 ms
0007	75.8171 ms	0.00338489 ms
0008	76.1824 ms	0.00314976 ms
0009	76.2807 ms	0.00328236 ms
