Image_No	det_time	des_time
0000	9.37907 ms	0.339193 ms
0001	8.68017 ms	0.337509 ms
0002	8.08837 ms	0.341995 ms
0003	7.51987 ms	0.336982 ms
0004	7.43076 ms	0.337057 ms
0005	7.93111 ms	0.336461 ms
0006	7.73739 ms	0.331251 ms
0007	7.49926 ms	0.334774 ms
0008	7.32782 ms	0.330652 ms
0009	7.57263 ms	0.333367 ms
