Image_No	det_time	des_time
0000	83.9962 ms	0.0406448 ms
0001	74.8499 ms	0.0443036 ms
0002	73.6245 ms	0.0445625 ms
0003	62.0788 ms	0.0423449 ms
0004	68.3263 ms	0.0433845 ms
0005	66.0532 ms	0.0433161 ms
0006	68.4857 ms	0.0423224 ms
0007	64.1259 ms	0.0434391 ms
0008	65.1417 ms	0.0434993 ms
0009	66.0268 ms	0.0430618 ms
