Image_No	det_time	des_time
0000	17.8743 ms	0.322437 ms
0001	15.8842 ms	0.322946 ms
0002	17.4835 ms	0.336475 ms
0003	16.1052 ms	0.33043 ms
0004	15.426 ms	0.328489 ms
0005	14.9272 ms	0.325884 ms
0006	17.8868 ms	0.332365 ms
0007	14.5744 ms	0.323373 ms
0008	14.9045 ms	0.321288 ms
0009	16.1542 ms	0.335625 ms
