Image_No	det_time	des_time
0000	16.7143 ms	0.000873486 ms
0001	13.7027 ms	0.00146909 ms
0002	18.6477 ms	0.000972255 ms
0003	17.0358 ms	0.000923841 ms
0004	17.7521 ms	0.00095939 ms
0005	15.7421 ms	0.000885748 ms
0006	17.7159 ms	0.00100398 ms
0007	15.7733 ms	0.00115375 ms
0008	14.8224 ms	0.000812179 ms
0009	16.3809 ms	0.000913709 ms
