Image_No	det_time	des_time
0000	8.74765 ms	0.0450314 ms
0001	8.1083 ms	0.0416973 ms
0002	7.62758 ms	0.0417563 ms
0003	7.38338 ms	0.0395373 ms
0004	7.11852 ms	0.0399842 ms
0005	7.30497 ms	0.038929 ms
0006	7.08238 ms	0.0392448 ms
0007	7.39613 ms	0.0399287 ms
0008	7.34385 ms	0.0394526 ms
0009	7.4915 ms	0.0410565 ms
