Image_No	det_time	des_time
0000	2.34613 ms	0.037024 ms
0001	2.05579 ms	0.0344643 ms
0002	2.08142 ms	0.0331245 ms
0003	2.07049 ms	0.0302552 ms
0004	2.15614 ms	0.0305457 ms
0005	1.97448 ms	0.0305339 ms
0006	1.9346 ms	0.0297194 ms
0007	2.05717 ms	0.0301978 ms
0008	2.03071 ms	0.0293526 ms
0009	1.9865 ms	0.0289604 ms
