Image_No	det_time	des_time
0000	379.508 ms	0.0468815 ms
0001	377.82 ms	0.0347297 ms
0002	368.986 ms	0.0388542 ms
0003	363.005 ms	0.0378167 ms
0004	367.818 ms	0.0371482 ms
0005	359.334 ms	0.0391518 ms
0006	373.096 ms	0.0411445 ms
0007	376.92 ms	0.0405 ms
0008	380.013 ms	0.038599 ms
0009	373.596 ms	0.0394398 ms
