Image_No	det_time	des_time
0000	129.715 ms	0.338572 ms
0001	118.995 ms	0.315103 ms
0002	122.657 ms	0.327839 ms
0003	128.74 ms	0.336514 ms
0004	128.784 ms	0.337056 ms
0005	116.877 ms	0.322444 ms
0006	134.083 ms	0.338847 ms
0007	122.492 ms	0.313255 ms
0008	134.189 ms	0.340778 ms
0009	112.95 ms	0.326445 ms
