Image_No	det_time	des_time
0000	18.2002 ms	0.0420543 ms
0001	14.8248 ms	0.0396751 ms
0002	16.2287 ms	0.0392709 ms
0003	13.1817 ms	0.0394378 ms
0004	12.8291 ms	0.039964 ms
0005	12.6817 ms	0.0393848 ms
0006	12.0199 ms	0.03729 ms
0007	11.7131 ms	0.0395789 ms
0008	11.9765 ms	0.0364877 ms
0009	11.2033 ms	0.0390156 ms
