Image_No	det_time	des_time
0000	81.9279 ms	0.00152108 ms
0001	76.6684 ms	0.00135834 ms
0002	76.7947 ms	0.00139281 ms
0003	78.2886 ms	0.00207057 ms
0004	77.094 ms	0.00149685 ms
0005	75.9121 ms	0.00158111 ms
0006	81.0416 ms	0.00142874 ms
0007	78.0946 ms	0.00215124 ms
0008	73.5058 ms	0.00237195 ms
0009	75.1543 ms	0.00149315 ms
