Image_No	det_time	des_time
0000	16.8748 ms	0.0410552 ms
0001	13.404 ms	0.0368877 ms
0002	15.8632 ms	0.0394728 ms
0003	11.9404 ms	0.0387446 ms
0004	12.0251 ms	0.0392498 ms
0005	11.3128 ms	0.0368013 ms
0006	11.7086 ms	0.0385185 ms
0007	11.0294 ms	0.0387702 ms
0008	12.4015 ms	0.0400987 ms
0009	11.575 ms	0.0382059 ms
