Image_No	det_time	des_time
0000	2.3049 ms	0.345064 ms
0001	2.29854 ms	0.33092 ms
0002	2.21847 ms	0.343054 ms
0003	2.2379 ms	0.34301 ms
0004	2.02834 ms	0.333794 ms
0005	1.89392 ms	0.329703 ms
0006	2.11574 ms	0.326979 ms
0007	2.11185 ms	0.344196 ms
0008	2.26822 ms	0.333966 ms
0009	2.18616 ms	0.340962 ms
