Image_No	det_time	des_time
0000	18.2523 ms	0.0200445 ms
0001	11.1439 ms	0.0139877 ms
0002	15.9592 ms	0.0155561 ms
0003	12.7385 ms	0.0174461 ms
0004	16.2361 ms	0.0171164 ms
0005	14.6026 ms	0.0159074 ms
0006	12.6038 ms	0.0163431 ms
0007	16.8786 ms	0.0173158 ms
0008	15.9718 ms	0.0186457 ms
0009	14.889 ms	0.0190611 ms
