Image_No	det_time	des_time
0000	29.4208 ms	0.00106305 ms
0001	14.6105 ms	0.00176869 ms
0002	17.703 ms	0.00161239 ms
0003	17.6383 ms	0.00173892 ms
0004	16.3258 ms	0.00209113 ms
0005	16.0377 ms	0.00161076 ms
0006	16.6649 ms	0.00157647 ms
0007	15.5067 ms	0.00160651 ms
0008	17.1974 ms	0.00168921 ms
0009	14.7732 ms	0.00140917 ms
