Image_No	det_time	des_time
0000	127.728 ms	0.0983423 ms
0001	92.0812 ms	0.0788911 ms
0002	110.273 ms	0.0756675 ms
0003	89.9261 ms	0.0753681 ms
0004	89.9991 ms	0.0754928 ms
0005	86.6386 ms	0.0754489 ms
0006	87.3742 ms	0.0709603 ms
0007	88.2794 ms	0.0737406 ms
0008	94.6805 ms	0.0759696 ms
0009	86.3267 ms	0.0737961 ms
