Image_No	det_time	des_time
0000	86.4941 ms	0.0223245 ms
0001	81.2721 ms	0.0231761 ms
0002	78.9009 ms	0.0222479 ms
0003	71.8392 ms	0.0231659 ms
0004	72.9327 ms	0.0234157 ms
0005	73.0908 ms	0.0233733 ms
0006	74.1995 ms	0.0241375 ms
0007	78.1356 ms	0.0254589 ms
0008	73.9453 ms	0.0247237 ms
0009	75.2845 ms	0.0250471 ms
