Image_No	det_time	des_time
0000	2.09516 ms	0.0462054 ms
0001	2.1912 ms	0.0474666 ms
0002	2.08 ms	0.0464781 ms
0003	1.96304 ms	0.0420363 ms
0004	1.96282 ms	0.0408473 ms
0005	1.78174 ms	0.0415088 ms
0006	1.86361 ms	0.0405102 ms
0007	1.92048 ms	0.0402279 ms
0008	1.76989 ms	0.0394029 ms
0009	1.8526 ms	0.0388152 ms
