Image_No	det_time	des_time
0000	395.688 ms	0.0467587 ms
0001	393.81 ms	0.046032 ms
0002	369.323 ms	0.0438893 ms
0003	382.223 ms	0.0406689 ms
0004	377.63 ms	0.0412717 ms
0005	386.379 ms	0.0418228 ms
0006	385.404 ms	0.0401218 ms
0007	390.733 ms	0.0432006 ms
0008	393.766 ms	0.0423195 ms
0009	387.92 ms	0.0393646 ms
