Image_No	det_time	des_time
0000	2.23943 ms	0.00189694 ms
0001	2.10376 ms	0.00149726 ms
0002	2.17647 ms	0.00176799 ms
0003	2.15363 ms	0.00153881 ms
0004	1.99245 ms	0.00134764 ms
0005	2.03461 ms	0.00152502 ms
0006	1.85152 ms	0.00134014 ms
0007	1.92089 ms	0.00135965 ms
0008	2.0069 ms	0.00166705 ms
0009	1.88628 ms	0.00129215 ms
