Image_No	det_time	des_time
0000	18.6784 ms	0.000641844 ms
0001	16.6823 ms	0.00117378 ms
0002	15.8684 ms	0.0010631 ms
0003	16.1268 ms	0.0011617 ms
0004	15.8606 ms	0.0013255 ms
0005	17.5393 ms	0.00122949 ms
0006	16.4763 ms	0.00113065 ms
0007	16.692 ms	0.00124584 ms
0008	15.8942 ms	0.00134858 ms
0009	15.3669 ms	0.00157371 ms
