Image_No	det_time	des_time
0000	2.5194 ms	0.00433037 ms
0001	3.34553 ms	0.00638094 ms
0002	2.27174 ms	0.0040952 ms
0003	2.22637 ms	0.00305508 ms
0004	2.05622 ms	0.00318841 ms
0005	2.03329 ms	0.00321047 ms
0006	2.26949 ms	0.0032644 ms
0007	2.07029 ms	0.00308123 ms
0008	2.17277 ms	0.00304462 ms
0009	2.21955 ms	0.0036962 ms
