Image_No	det_time	des_time
0000	18.4531 ms	0.334555 ms
0001	16.973 ms	0.323299 ms
0002	17.2599 ms	0.33639 ms
0003	13.3101 ms	0.322899 ms
0004	14.3971 ms	0.325353 ms
0005	15.8536 ms	0.326037 ms
0006	18.199 ms	0.337113 ms
0007	16.1889 ms	0.338696 ms
0008	17.2178 ms	0.326153 ms
0009	17.8315 ms	0.33523 ms
