Image_No	det_time	des_time
0000	8.66991 ms	0.0469148 ms
0001	7.28145 ms	0.0377812 ms
0002	7.95336 ms	0.0429271 ms
0003	7.60337 ms	0.0409914 ms
0004	6.92216 ms	0.040643 ms
0005	7.63263 ms	0.0406018 ms
0006	7.18495 ms	0.0424997 ms
0007	7.27094 ms	0.048569 ms
0008	7.62292 ms	0.0483925 ms
0009	6.99273 ms	0.0464368 ms
