Image_No	det_time	des_time
0000	134.922 ms	0.00342552 ms
0001	119.133 ms	0.00136079 ms
0002	126.032 ms	0.00129027 ms
0003	126.631 ms	0.0011568 ms
0004	118.714 ms	0.0012768 ms
0005	118.807 ms	0.00126297 ms
0006	123.995 ms	0.00125613 ms
0007	119.914 ms	0.0013065 ms
0008	116.166 ms	0.00145015 ms
0009	124.536 ms	0.00142724 ms
