Image_No	det_time	des_time
0000	90.0242 ms	0.0674592 ms
0001	74.8951 ms	0.0712607 ms
0002	88.1652 ms	0.0738921 ms
0003	90.5789 ms	0.0731736 ms
0004	81.9721 ms	0.0750926 ms
0005	86.7664 ms	0.078895 ms
0006	85.3203 ms	0.0777579 ms
0007	81.4157 ms	0.0714431 ms
0008	79.0383 ms	0.0623497 ms
0009	78.0406 ms	0.0656707 ms
