Image_No	det_time	des_time
0000	13.0782 ms	0.00158261 ms
0001	8.7042 ms	0.0009014 ms
0002	8.28805 ms	0.000886803 ms
0003	6.79931 ms	0.00090244 ms
0004	7.1827 ms	0.00102666 ms
0005	7.48327 ms	0.000987083 ms
0006	7.16082 ms	0.00107632 ms
0007	7.03131 ms	0.00112093 ms
0008	7.03392 ms	0.00109624 ms
0009	7.15543 ms	0.00109322 ms
