Image_No	det_time	des_time
0000	364.017 ms	0.00501932 ms
0001	367.414 ms	0.00435201 ms
0002	385.316 ms	0.00530679 ms
0003	379.833 ms	0.00468337 ms
0004	376.873 ms	0.00455291 ms
0005	373.126 ms	0.00499754 ms
0006	377.079 ms	0.00513875 ms
0007	376.985 ms	0.00473172 ms
0008	377.958 ms	0.00479636 ms
0009	376.157 ms	0.00453447 ms
