Image_No	det_time	des_time
0000	18.141 ms	0.0192955 ms
0001	11.1797 ms	0.0140059 ms
0002	16.0736 ms	0.0150828 ms
0003	11.5551 ms	0.0145725 ms
0004	11.0549 ms	0.0179231 ms
0005	15.5986 ms	0.0150827 ms
0006	17.0667 ms	0.0187471 ms
0007	15.0834 ms	0.0186423 ms
0008	14.174 ms	0.018469 ms
0009	16.8415 ms	0.0203894 ms
