Image_No	det_time	des_time
0000	377.865 ms	0.333037 ms
0001	366.161 ms	0.333315 ms
0002	376.615 ms	0.337608 ms
0003	373.664 ms	0.336885 ms
0004	374.734 ms	0.328398 ms
0005	357.231 ms	0.330541 ms
0006	366.982 ms	0.323913 ms
0007	365.719 ms	0.327961 ms
0008	358.084 ms	0.329097 ms
0009	365.211 ms	0.320617 ms
