Image_No	det_time	des_time
0000	8.15478 ms	0.00500538 ms
0001	7.17804 ms	0.0044323 ms
0002	7.83816 ms	0.00413407 ms
0003	7.10825 ms	0.00448267 ms
0004	7.14349 ms	0.00449074 ms
0005	7.15504 ms	0.00462075 ms
0006	7.29397 ms	0.00446793 ms
0007	7.59719 ms	0.00493227 ms
0008	7.24109 ms	0.00482922 ms
0009	8.26459 ms	0.00492824 ms
