Image_No	det_time	des_time
0000	127.752 ms	0.0422802 ms
0001	116.152 ms	0.0399497 ms
0002	136.611 ms	0.0445499 ms
0003	119.499 ms	0.0399954 ms
0004	121.599 ms	0.0418019 ms
0005	123.955 ms	0.0419487 ms
0006	115.87 ms	0.0406649 ms
0007	116.424 ms	0.0404807 ms
0008	112.519 ms	0.0392518 ms
0009	113.615 ms	0.0403561 ms
